Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
251,Exit long,2026-01-12 10:50,Exit Long,10125.9,1,10117.9,8,0.08,8,0.08,-4.5,-0.04,251.4,10.06
251,Entry long,2026-01-12 10:15,Long,10117.9,1,10117.9,8,0.08,8,0.08,-4.5,-0.04,251.4,10.06
252,Exit short,2026-01-12 12:51,Exit Short,10135.3,1,10127.3,-8,-0.08,7.2,0.07,-8,-0.08,243.4,9.74
252,Entry short,2026-01-12 11:19,Short,10127.3,1,10127.3,-8,-0.08,7.2,0.07,-8,-0.08,243.4,9.74
253,Exit short,2026-01-12 13:14,Exit Short,10141.9,1,10133.9,-8,-0.08,0,0.00,-8,-0.08,235.4,9.42
253,Entry short,2026-01-12 12:53,Short,10133.9,1,10133.9,-8,-0.08,0,0.00,-8,-0.08,235.4,9.42
254,Exit short,2026-01-12 13:22,Exit Short,10131.6,1,10139.6,8,0.08,8,0.08,-0.4,0.00,243.4,9.74
254,Entry short,2026-01-12 13:16,Short,10139.6,1,10139.6,8,0.08,8,0.08,-0.4,0.00,243.4,9.74
255,Exit long,2026-01-12 13:55,Exit Long,10137.8,1,10129.8,8,0.08,8,0.08,-5.8,-0.06,251.4,10.06
255,Entry long,2026-01-12 13:29,Long,10129.8,1,10129.8,8,0.08,8,0.08,-5.8,-0.06,251.4,10.06
256,Exit long,2026-01-12 14:19,Exit Long,10136.9,1,10128.9,8,0.08,8,0.08,-0.6,-0.01,259.4,10.38
256,Entry long,2026-01-12 14:13,Long,10128.9,1,10128.9,8,0.08,8,0.08,-0.6,-0.01,259.4,10.38
257,Exit short,2026-01-12 14:33,Exit Short,10128.9,1,10136.9,8,0.08,8,0.08,-2.5,-0.02,267.4,10.70
257,Entry short,2026-01-12 14:24,Short,10136.9,1,10136.9,8,0.08,8,0.08,-2.5,-0.02,267.4,10.70
258,Exit long,2026-01-12 14:44,Exit Long,10131.6,1,10123.6,8,0.08,8,0.08,-1.1,-0.01,275.4,11.02
258,Entry long,2026-01-12 14:37,Long,10123.6,1,10123.6,8,0.08,8,0.08,-1.1,-0.01,275.4,11.02
259,Exit short,2026-01-12 16:40,Exit Short,10137.9,1,10145.9,8,0.08,8,0.08,-6,-0.06,283.4,11.34
259,Entry short,2026-01-12 15:00,Short,10145.9,1,10145.9,8,0.08,8,0.08,-6,-0.06,283.4,11.34
260,Exit long,2026-01-12 17:04,Exit Long,10132.5,1,10140.5,-8,-0.08,5,0.05,-8,-0.08,275.4,11.02
260,Entry long,2026-01-12 16:44,Long,10140.5,1,10140.5,-8,-0.08,5,0.05,-8,-0.08,275.4,11.02
261,Exit long,2026-01-12 19:31,Exit Long,10138.5,1,10130.5,8,0.08,8,0.08,-4,-0.04,283.4,11.34
261,Entry long,2026-01-12 17:11,Long,10130.5,1,10130.5,8,0.08,8,0.08,-4,-0.04,283.4,11.34
262,Exit short,2026-01-12 20:55,Exit Short,10146.2,1,10138.2,-8,-0.08,6,0.06,-8,-0.08,275.4,11.02
262,Entry short,2026-01-12 19:33,Short,10138.2,1,10138.2,-8,-0.08,6,0.06,-8,-0.08,275.4,11.02
263,Exit short,2026-01-13 01:36,Exit Short,10134.3,1,10142.3,8,0.08,8,0.08,-0.1,0.00,283.4,11.34
263,Entry short,2026-01-13 01:01,Short,10142.3,1,10142.3,8,0.08,8,0.08,-0.1,0.00,283.4,11.34
264,Exit long,2026-01-13 02:04,Exit Long,10143,1,10135,8,0.08,8,0.08,-0.9,-0.01,291.4,11.66
264,Entry long,2026-01-13 01:42,Long,10135,1,10135,8,0.08,8,0.08,-0.9,-0.01,291.4,11.66
265,Exit short,2026-01-13 03:32,Exit Short,10137.8,1,10145.8,8,0.08,8,0.08,-2.5,-0.02,299.4,11.98
265,Entry short,2026-01-13 02:10,Short,10145.8,1,10145.8,8,0.08,8,0.08,-2.5,-0.02,299.4,11.98
266,Exit long,2026-01-13 04:18,Exit Long,10146.6,1,10138.6,8,0.08,8,0.08,-0.6,-0.01,307.4,12.30
266,Entry long,2026-01-13 03:34,Long,10138.6,1,10138.6,8,0.08,8,0.08,-0.6,-0.01,307.4,12.30
267,Exit short,2026-01-13 06:29,Exit Short,10137.6,1,10145.6,8,0.08,8,0.08,-5.5,-0.05,315.4,12.62
267,Entry short,2026-01-13 04:20,Short,10145.6,1,10145.6,8,0.08,8,0.08,-5.5,-0.05,315.4,12.62
268,Exit long,2026-01-13 08:04,Exit Long,10146.1,1,10138.1,8,0.08,8,0.08,-3.8,-0.04,323.4,12.94
268,Entry long,2026-01-13 06:31,Long,10138.1,1,10138.1,8,0.08,8,0.08,-3.8,-0.04,323.4,12.94
269,Exit short,2026-01-13 08:10,Exit Short,10152.7,1,10144.7,-8,-0.08,0.9,0.01,-8,-0.08,315.4,12.62
269,Entry short,2026-01-13 08:06,Short,10144.7,1,10144.7,-8,-0.08,0.9,0.01,-8,-0.08,315.4,12.62
270,Exit short,2026-01-13 08:19,Exit Short,10141.3,1,10149.3,8,0.08,8,0.08,-1.4,-0.01,323.4,12.94
270,Entry short,2026-01-13 08:13,Short,10149.3,1,10149.3,8,0.08,8,0.08,-1.4,-0.01,323.4,12.94
271,Exit long,2026-01-13 08:53,Exit Long,10146.5,1,10138.5,8,0.08,8,0.08,-0.2,0.00,331.4,13.26
271,Entry long,2026-01-13 08:44,Long,10138.5,1,10138.5,8,0.08,8,0.08,-0.2,0.00,331.4,13.26
272,Exit long,2026-01-13 09:53,Exit Long,10146.2,1,10138.2,8,0.08,8,0.08,-5.5,-0.05,339.4,13.58
272,Entry long,2026-01-13 09:21,Long,10138.2,1,10138.2,8,0.08,8,0.08,-5.5,-0.05,339.4,13.58
273,Exit short,2026-01-13 10:08,Exit Short,10136.2,1,10144.2,8,0.08,8,0.08,-5.7,-0.06,347.4,13.90
273,Entry short,2026-01-13 09:55,Short,10144.2,1,10144.2,8,0.08,8,0.08,-5.7,-0.06,347.4,13.90
274,Exit long,2026-01-13 10:40,Exit Long,10144.2,1,10136.2,8,0.08,8,0.08,-2.6,-0.03,355.4,14.22
274,Entry long,2026-01-13 10:21,Long,10136.2,1,10136.2,8,0.08,8,0.08,-2.6,-0.03,355.4,14.22
275,Exit short,2026-01-13 11:20,Exit Short,10139.1,1,10147.1,8,0.08,8,0.08,-1.1,-0.01,363.4,14.54
275,Entry short,2026-01-13 11:05,Short,10147.1,1,10147.1,8,0.08,8,0.08,-1.1,-0.01,363.4,14.54
276,Exit long,2026-01-13 13:31,Exit Long,10145.4,1,10137.4,8,0.08,8,0.08,-6.4,-0.06,371.4,14.86
276,Entry long,2026-01-13 11:32,Long,10137.4,1,10137.4,8,0.08,8,0.08,-6.4,-0.06,371.4,14.86
277,Exit short,2026-01-13 13:38,Exit Short,10133.4,1,10141.4,8,0.08,8,0.08,-0.2,0.00,379.4,15.18
277,Entry short,2026-01-13 13:33,Short,10141.4,1,10141.4,8,0.08,8,0.08,-0.2,0.00,379.4,15.18
278,Exit long,2026-01-13 13:54,Exit Long,10127.2,1,10135.2,-8,-0.08,3.5,0.03,-8,-0.08,371.4,14.86
278,Entry long,2026-01-13 13:42,Long,10135.2,1,10135.2,-8,-0.08,3.5,0.03,-8,-0.08,371.4,14.86
279,Exit long,2026-01-13 14:28,Exit Long,10132.4,1,10124.4,8,0.08,8,0.08,-1,-0.01,379.4,15.18
279,Entry long,2026-01-13 14:01,Long,10124.4,1,10124.4,8,0.08,8,0.08,-1,-0.01,379.4,15.18
280,Exit long,2026-01-13 14:58,Exit Long,10117.7,1,10125.7,-8,-0.08,2,0.02,-8,-0.08,371.4,14.86
280,Entry long,2026-01-13 14:43,Long,10125.7,1,10125.7,-8,-0.08,2,0.02,-8,-0.08,371.4,14.86
281,Exit long,2026-01-13 15:02,Exit Long,10108.7,1,10116.7,-8,-0.08,0,0.00,-8,-0.08,363.4,14.54
281,Entry long,2026-01-13 15:00,Long,10116.7,1,10116.7,-8,-0.08,0,0.00,-8,-0.08,363.4,14.54
282,Exit long,2026-01-13 15:30,Exit Long,10110.4,1,10102.4,8,0.08,8,0.08,-6.5,-0.06,371.4,14.86
282,Entry long,2026-01-13 15:06,Long,10102.4,1,10102.4,8,0.08,8,0.08,-6.5,-0.06,371.4,14.86
283,Exit short,2026-01-13 15:47,Exit Short,10137.2,1,10129.2,-8,-0.08,0.5,0.00,-8,-0.08,363.4,14.54
283,Entry short,2026-01-13 15:46,Short,10129.2,1,10129.2,-8,-0.08,0.5,0.00,-8,-0.08,363.4,14.54
284,Exit short,2026-01-13 16:27,Exit Short,10131.4,1,10139.4,8,0.08,8,0.08,-6.7,-0.07,371.4,14.86
284,Entry short,2026-01-13 15:54,Short,10139.4,1,10139.4,8,0.08,8,0.08,-6.7,-0.07,371.4,14.86
285,Exit short,2026-01-13 17:22,Exit Short,10152.8,1,10144.8,-8,-0.08,0.6,0.01,-8,-0.08,363.4,14.54
285,Entry short,2026-01-13 16:56,Short,10144.8,1,10144.8,-8,-0.08,0.6,0.01,-8,-0.08,363.4,14.54
286,Exit short,2026-01-13 17:31,Exit Short,10144.1,1,10152.1,8,0.08,8,0.08,-1.4,-0.01,371.4,14.86
286,Entry short,2026-01-13 17:26,Short,10152.1,1,10152.1,8,0.08,8,0.08,-1.4,-0.01,371.4,14.86
287,Exit long,2026-01-13 19:10,Open,10138.6,1,10144.2,-5.6,-0.06,5.7,0.06,-5.9,-0.06,365.8,14.63
287,Entry long,2026-01-13 18:00,Long,10144.2,1,10144.2,-5.6,-0.06,5.7,0.06,-5.9,-0.06,365.8,14.63
