Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
373,Entry long,2026-01-07 08:50,Long,10077.4,1,10077.4,3.7,0.04,4.1,0.04,0,0.00,380.7,3.81
374,Exit long,2026-01-07 09:01,Exit Long,10076.2,1,10075.8,0.4,0.00,0.8,0.01,0,0.00,381.1,3.81
374,Entry long,2026-01-07 09:01,Long,10075.8,1,10075.8,0.4,0.00,0.8,0.01,0,0.00,381.1,3.81
375,Exit long,2026-01-07 09:05,Exit Long,10069,1,10076.6,-7.6,-0.08,0,0.00,-7.6,-0.08,373.5,3.74
375,Entry long,2026-01-07 09:04,Long,10076.6,1,10076.6,-7.6,-0.08,0,0.00,-7.6,-0.08,373.5,3.74
376,Exit long,2026-01-07 09:09,Exit Long,10074.1,1,10072.6,1.5,0.01,1.9,0.02,0,0.00,375,3.75
376,Entry long,2026-01-07 09:09,Long,10072.6,1,10072.6,1.5,0.01,1.9,0.02,0,0.00,375,3.75
377,Exit long,2026-01-07 09:49,Exit Long,10072.6,1,10069,3.6,0.04,4,0.04,-0.7,-0.01,378.6,3.79
377,Entry long,2026-01-07 09:48,Long,10069,1,10069,3.6,0.04,4,0.04,-0.7,-0.01,378.6,3.79
378,Exit long,2026-01-07 10:34,Exit Long,10059.4,1,10057.9,1.5,0.01,1.9,0.02,-0.6,-0.01,380.1,3.80
378,Entry long,2026-01-07 10:34,Long,10057.9,1,10057.9,1.5,0.01,1.9,0.02,-0.6,-0.01,380.1,3.80
379,Exit long,2026-01-07 10:44,Exit Long,10058.7,1,10055,3.7,0.04,4.1,0.04,0,0.00,383.8,3.84
379,Entry long,2026-01-07 10:43,Long,10055,1,10055,3.7,0.04,4.1,0.04,0,0.00,383.8,3.84
380,Exit short,2026-01-07 11:22,Exit Short,10067.6,1,10068.6,1,0.01,1.4,0.01,-0.2,0.00,384.8,3.85
380,Entry short,2026-01-07 11:22,Short,10068.6,1,10068.6,1,0.01,1.4,0.01,-0.2,0.00,384.8,3.85
381,Exit short,2026-01-07 11:33,Exit Short,10069.8,1,10071.3,1.5,0.01,1.9,0.02,-0.4,0.00,386.3,3.86
381,Entry short,2026-01-07 11:33,Short,10071.3,1,10071.3,1.5,0.01,1.9,0.02,-0.4,0.00,386.3,3.86
382,Exit short,2026-01-07 11:36,Exit Short,10066.7,1,10069.2,2.5,0.02,2.9,0.03,-0.2,0.00,388.8,3.89
382,Entry short,2026-01-07 11:36,Short,10069.2,1,10069.2,2.5,0.02,2.9,0.03,-0.2,0.00,388.8,3.89
383,Exit long,2026-01-07 12:11,Exit Long,10058.5,1,10058.1,0.4,0.00,0.8,0.01,0,0.00,389.2,3.89
383,Entry long,2026-01-07 12:11,Long,10058.1,1,10058.1,0.4,0.00,0.8,0.01,0,0.00,389.2,3.89
384,Exit long,2026-01-07 12:14,Exit Long,10058,1,10056.9,1.1,0.01,1.5,0.01,0,0.00,390.3,3.90
384,Entry long,2026-01-07 12:14,Long,10056.9,1,10056.9,1.1,0.01,1.5,0.01,0,0.00,390.3,3.90
385,Exit long,2026-01-07 12:39,Exit Long,10059,1,10057.4,1.6,0.02,2,0.02,-0.3,0.00,391.9,3.92
385,Entry long,2026-01-07 12:38,Long,10057.4,1,10057.4,1.6,0.02,2,0.02,-0.3,0.00,391.9,3.92
386,Exit long,2026-01-07 13:17,Exit Long,10063.2,1,10057.4,5.8,0.06,6.2,0.06,-3.7,-0.04,397.7,3.98
386,Entry long,2026-01-07 13:06,Long,10057.4,1,10057.4,5.8,0.06,6.2,0.06,-3.7,-0.04,397.7,3.98
387,Exit short,2026-01-07 13:21,Exit Short,10062.7,1,10063.4,0.7,0.01,1.1,0.01,-0.8,-0.01,398.4,3.98
387,Entry short,2026-01-07 13:21,Short,10063.4,1,10063.4,0.7,0.01,1.1,0.01,-0.8,-0.01,398.4,3.98
388,Exit short,2026-01-07 13:24,Exit Short,10062,1,10062.1,0.1,0.00,0.5,0.00,0,0.00,398.5,3.98
388,Entry short,2026-01-07 13:23,Short,10062.1,1,10062.1,0.1,0.00,0.5,0.00,0,0.00,398.5,3.98
389,Exit short,2026-01-07 13:42,Exit Short,10059.8,1,10061.4,1.6,0.02,2,0.02,-1,-0.01,400.1,4.00
389,Entry short,2026-01-07 13:42,Short,10061.4,1,10061.4,1.6,0.02,2,0.02,-1,-0.01,400.1,4.00
390,Exit short,2026-01-07 13:49,Exit Short,10063.8,1,10064.6,0.8,0.01,1.2,0.01,-0.3,0.00,400.9,4.01
390,Entry short,2026-01-07 13:49,Short,10064.6,1,10064.6,0.8,0.01,1.2,0.01,-0.3,0.00,400.9,4.01
391,Exit short,2026-01-07 13:54,Exit Short,10062,1,10063.1,1.1,0.01,1.5,0.01,-0.3,0.00,402,4.02
391,Entry short,2026-01-07 13:53,Short,10063.1,1,10063.1,1.1,0.01,1.5,0.01,-0.3,0.00,402,4.02
392,Exit long,2026-01-07 14:24,Exit Long,10052.5,1,10050.9,1.6,0.02,2,0.02,-2.6,-0.03,403.6,4.04
392,Entry long,2026-01-07 14:22,Long,10050.9,1,10050.9,1.6,0.02,2,0.02,-2.6,-0.03,403.6,4.04
393,Exit long,2026-01-07 14:31,Exit Long,10051,1,10047.7,3.3,0.03,3.7,0.04,-4.6,-0.05,406.9,4.07
393,Entry long,2026-01-07 14:28,Long,10047.7,1,10047.7,3.3,0.03,3.7,0.04,-4.6,-0.05,406.9,4.07
394,Exit long,2026-01-07 14:32,Exit Long,10048.7,1,10048.1,0.6,0.01,1,0.01,0,0.00,407.5,4.08
394,Entry long,2026-01-07 14:32,Long,10048.1,1,10048.1,0.6,0.01,1,0.01,0,0.00,407.5,4.08
