Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
383,Exit long,2026-01-05 20:59,Exit Long,48987.3,1,48979.3,8,0.02,10.7,0.02,-5.8,-0.01,-148,-5.92
383,Entry long,2026-01-05 20:57,Long,48979.3,1,48979.3,8,0.02,10.7,0.02,-5.8,-0.01,-148,-5.92
384,Exit long,2026-01-05 21:50,Exit Long,48964.8,1,48972.8,-8,-0.02,0,0.00,-8,-0.02,-156,-6.24
384,Entry long,2026-01-05 21:46,Long,48972.8,1,48972.8,-8,-0.02,0,0.00,-8,-0.02,-156,-6.24
385,Exit long,2026-01-05 23:00,Exit Long,48972.9,1,48964.9,8,0.02,8,0.02,-1.7,0.00,-148,-5.92
385,Entry long,2026-01-05 21:56,Long,48964.9,1,48964.9,8,0.02,8,0.02,-1.7,0.00,-148,-5.92
386,Exit long,2026-01-05 23:40,Exit Long,48958.4,1,48966.4,-8,-0.02,1.1,0.00,-8,-0.02,-156,-6.24
386,Entry long,2026-01-05 23:36,Long,48966.4,1,48966.4,-8,-0.02,1.1,0.00,-8,-0.02,-156,-6.24
387,Exit long,2026-01-05 23:55,Exit Long,48954.5,1,48962.5,-8,-0.02,4.4,0.01,-8,-0.02,-164,-6.56
387,Entry long,2026-01-05 23:42,Long,48962.5,1,48962.5,-8,-0.02,4.4,0.01,-8,-0.02,-164,-6.56
388,Exit long,2026-01-06 00:01,Exit Long,48949.1,1,48957.1,-8,-0.02,3.1,0.01,-8,-0.02,-172,-6.88
388,Entry long,2026-01-05 23:58,Long,48957.1,1,48957.1,-8,-0.02,3.1,0.01,-8,-0.02,-172,-6.88
389,Exit long,2026-01-06 00:19,Exit Long,48944.7,1,48952.7,-8,-0.02,3.5,0.01,-8,-0.02,-180,-7.20
389,Entry long,2026-01-06 00:13,Long,48952.7,1,48952.7,-8,-0.02,3.5,0.01,-8,-0.02,-180,-7.20
390,Exit long,2026-01-06 01:01,Exit Long,48956.6,1,48948.6,8,0.02,8,0.02,-0.7,0.00,-172,-6.88
390,Entry long,2026-01-06 00:44,Long,48948.6,1,48948.6,8,0.02,8,0.02,-0.7,0.00,-172,-6.88
391,Exit short,2026-01-06 01:09,Exit Short,48959.3,1,48967.3,8,0.02,8,0.02,-0.6,0.00,-164,-6.56
391,Entry short,2026-01-06 01:08,Short,48967.3,1,48967.3,8,0.02,8,0.02,-0.6,0.00,-164,-6.56
392,Exit short,2026-01-06 01:18,Exit Short,48973.4,1,48965.4,-8,-0.02,6.1,0.01,-8,-0.02,-172,-6.88
392,Entry short,2026-01-06 01:15,Short,48965.4,1,48965.4,-8,-0.02,6.1,0.01,-8,-0.02,-172,-6.88
393,Exit short,2026-01-06 01:25,Exit Short,48984,1,48976,-8,-0.02,2.6,0.01,-8,-0.02,-180,-7.20
393,Entry short,2026-01-06 01:23,Short,48976,1,48976,-8,-0.02,2.6,0.01,-8,-0.02,-180,-7.20
394,Exit short,2026-01-06 01:30,Exit Short,48992.8,1,48984.8,-8,-0.02,0,0.00,-8,-0.02,-188,-7.52
394,Entry short,2026-01-06 01:28,Short,48984.8,1,48984.8,-8,-0.02,0,0.00,-8,-0.02,-188,-7.52
395,Exit short,2026-01-06 01:35,Exit Short,48999.8,1,48991.8,-8,-0.02,1.1,0.00,-8,-0.02,-196,-7.84
395,Entry short,2026-01-06 01:32,Short,48991.8,1,48991.8,-8,-0.02,1.1,0.00,-8,-0.02,-196,-7.84
