Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
86,Entry short,2025-12-30 13:15,Short,9920.7,1,9920.7,2,0.02,2.3,0.02,-0.2,0.00,55.1,2.20
87,Exit short,2025-12-30 13:26,Exit Short,9933,1,9933.2,0.2,0.00,0.5,0.01,0,0.00,55.3,2.21
87,Entry short,2025-12-30 13:26,Short,9933.2,1,9933.2,0.2,0.00,0.5,0.01,0,0.00,55.3,2.21
88,Exit short,2025-12-30 13:36,Exit Short,9934.5,1,9934.9,0.4,0.00,0.7,0.01,-4.3,-0.04,55.7,2.23
88,Entry short,2025-12-30 13:31,Short,9934.9,1,9934.9,0.4,0.00,0.7,0.01,-4.3,-0.04,55.7,2.23
89,Exit long,2025-12-30 14:02,Exit Long,9923.4,1,9922.7,0.7,0.01,1,0.01,-2.5,-0.03,56.4,2.26
89,Entry long,2025-12-30 13:58,Long,9922.7,1,9922.7,0.7,0.01,1,0.01,-2.5,-0.03,56.4,2.26
90,Exit short,2025-12-30 14:41,Exit Short,9931.2,1,9932.2,1,0.01,1.3,0.01,0,0.00,57.4,2.30
90,Entry short,2025-12-30 14:41,Short,9932.2,1,9932.2,1,0.01,1.3,0.01,0,0.00,57.4,2.30
91,Exit short,2025-12-30 14:57,Exit Short,9931.2,1,9933.3,2.1,0.02,2.4,0.02,0,0.00,59.5,2.38
91,Entry short,2025-12-30 14:57,Short,9933.3,1,9933.3,2.1,0.02,2.4,0.02,0,0.00,59.5,2.38
92,Exit short,2025-12-30 15:22,Exit Short,9942.2,1,9934.4,-7.8,-0.08,0.2,0.00,-7.8,-0.08,51.7,2.07
92,Entry short,2025-12-30 15:15,Short,9934.4,1,9934.4,-7.8,-0.08,0.2,0.00,-7.8,-0.08,51.7,2.07
93,Exit short,2025-12-30 15:35,Exit Short,9951.3,1,9943.4,-7.9,-0.08,0.2,0.00,-7.9,-0.08,43.8,1.75
93,Entry short,2025-12-30 15:29,Short,9943.4,1,9943.4,-7.9,-0.08,0.2,0.00,-7.9,-0.08,43.8,1.75
94,Exit short,2025-12-30 15:59,Safety Net,9950.4,1,9948.9,-1.5,-0.02,0,0.00,-6.5,-0.07,42.3,1.69
94,Entry short,2025-12-30 15:37,Short,9948.9,1,9948.9,-1.5,-0.02,0,0.00,-6.5,-0.07,42.3,1.69
