Trade #,Type,Date and time,Signal,Price GBP,Position size (qty),Position size (value),Net P&L GBP,Net P&L %,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative P&L GBP,Cumulative P&L %
63,Exit long,2025-12-30 23:57,Safety Net,6896,1,6896.7,-0.7,-0.01,0.5,0.01,-4.2,-0.06,34.4,1.38
63,Entry long,2025-12-30 23:19,Long,6896.7,1,6896.7,-0.7,-0.01,0.5,0.01,-4.2,-0.06,34.4,1.38
64,Exit long,2025-12-31 00:17,Safety Net,6894.3,1,6893.5,0.8,0.01,1.2,0.02,-2,-0.03,35.2,1.41
64,Entry long,2025-12-31 00:08,Long,6893.5,1,6893.5,0.8,0.01,1.2,0.02,-2,-0.03,35.2,1.41
65,Exit long,2025-12-31 01:00,Exit Long,6884,1,6892.1,-8.1,-0.12,0.1,0.00,-8.1,-0.12,27.1,1.08
65,Entry long,2025-12-31 00:38,Long,6892.1,1,6892.1,-8.1,-0.12,0.1,0.00,-8.1,-0.12,27.1,1.08
66,Exit long,2025-12-31 01:12,Safety Net,6888,1,6883.7,4.3,0.06,4.3,0.06,-0.5,-0.01,31.4,1.26
66,Entry long,2025-12-31 01:03,Long,6883.7,1,6883.7,4.3,0.06,4.3,0.06,-0.5,-0.01,31.4,1.26
67,Exit short,2025-12-31 02:11,Safety Net,6886.2,1,6887.8,1.6,0.02,1.8,0.03,0,0.00,33,1.32
67,Entry short,2025-12-31 02:05,Short,6887.8,1,6887.8,1.6,0.02,1.8,0.03,0,0.00,33,1.32
68,Exit short,2025-12-31 03:13,Safety Net,6890,1,6889.3,-0.7,-0.01,2.5,0.04,-2.8,-0.04,32.3,1.29
68,Entry short,2025-12-31 02:25,Short,6889.3,1,6889.3,-0.7,-0.01,2.5,0.04,-2.8,-0.04,32.3,1.29
69,Exit short,2025-12-31 03:31,Safety Net,6888.6,1,6890.7,2.1,0.03,2.2,0.03,0,0.00,34.4,1.38
69,Entry short,2025-12-31 03:18,Short,6890.7,1,6890.7,2.1,0.03,2.2,0.03,0,0.00,34.4,1.38
70,Exit long,2025-12-31 03:46,Safety Net,6888.6,1,6888.2,0.4,0.01,0.4,0.01,-0.7,-0.01,34.8,1.39
70,Entry long,2025-12-31 03:37,Long,6888.2,1,6888.2,0.4,0.01,0.4,0.01,-0.7,-0.01,34.8,1.39
71,Exit short,2025-12-31 04:31,Safety Net,6890.2,1,6891.2,1,0.01,1.2,0.02,0,0.00,35.8,1.43
71,Entry short,2025-12-31 04:21,Short,6891.2,1,6891.2,1,0.01,1.2,0.02,0,0.00,35.8,1.43
72,Exit long,2025-12-31 06:07,Safety Net,6884.2,1,6889,-4.8,-0.07,0.5,0.01,-6.5,-0.09,31,1.24
72,Entry long,2025-12-31 04:50,Long,6889,1,6889,-4.8,-0.07,0.5,0.01,-6.5,-0.09,31,1.24
73,Exit long,2025-12-31 07:32,Safety Net,6885.5,1,6882.8,2.7,0.04,3.2,0.05,-2.8,-0.04,33.7,1.35
73,Entry long,2025-12-31 06:20,Long,6882.8,1,6882.8,2.7,0.04,3.2,0.05,-2.8,-0.04,33.7,1.35
74,Exit short,2025-12-31 07:49,Safety Net,6884.4,1,6884.6,0.2,0.00,0.6,0.01,-1.4,-0.02,33.9,1.36
74,Entry short,2025-12-31 07:33,Short,6884.6,1,6884.6,0.2,0.00,0.6,0.01,-1.4,-0.02,33.9,1.36
75,Exit long,2025-12-31 09:03,Safety Net,6881,1,6881.6,-0.6,-0.01,0.9,0.01,-5.6,-0.08,33.3,1.33
75,Entry long,2025-12-31 08:27,Long,6881.6,1,6881.6,-0.6,-0.01,0.9,0.01,-5.6,-0.08,33.3,1.33
76,Exit short,2025-12-31 09:52,Safety Net,6878,1,6880.1,2.1,0.03,2.4,0.03,-0.1,0.00,35.4,1.42
76,Entry short,2025-12-31 09:41,Short,6880.1,1,6880.1,2.1,0.03,2.4,0.03,-0.1,0.00,35.4,1.42
77,Exit long,2025-12-31 10:14,Safety Net,6879,1,6877,2,0.03,2.1,0.03,-0.3,0.00,37.4,1.50
77,Entry long,2025-12-31 10:05,Long,6877,1,6877,2,0.03,2.1,0.03,-0.3,0.00,37.4,1.50
78,Exit short,2025-12-31 11:54,Safety Net,6883.1,1,6881.7,-1.4,-0.02,1.2,0.02,-2.8,-0.04,36,1.44
78,Entry short,2025-12-31 11:08,Short,6881.7,1,6881.7,-1.4,-0.02,1.2,0.02,-2.8,-0.04,36,1.44
79,Exit short,2025-12-31 12:45,Safety Net,6888.7,1,6883.7,-5,-0.07,1,0.01,-6.5,-0.09,31,1.24
79,Entry short,2025-12-31 12:02,Short,6883.7,1,6883.7,-5,-0.07,1,0.01,-6.5,-0.09,31,1.24
80,Exit short,2025-12-31 13:46,Exit Short,6897.7,1,6890.2,-7.5,-0.11,1.7,0.02,-7.5,-0.11,23.5,0.94
80,Entry short,2025-12-31 13:00,Short,6890.2,1,6890.2,-7.5,-0.11,1.7,0.02,-7.5,-0.11,23.5,0.94
81,Exit short,2025-12-31 14:16,Safety Net,6902,1,6902.5,0.5,0.01,1,0.01,-2,-0.03,24,0.96
81,Entry short,2025-12-31 13:55,Short,6902.5,1,6902.5,0.5,0.01,1,0.01,-2,-0.03,24,0.96
82,Exit long,2025-12-31 14:45,Exit Long,6880.7,1,6888.5,-7.8,-0.11,0.2,0.00,-7.8,-0.11,16.2,0.65
82,Entry long,2025-12-31 14:39,Long,6888.5,1,6888.5,-7.8,-0.11,0.2,0.00,-7.8,-0.11,16.2,0.65
83,Exit long,2025-12-31 14:54,Exit Long,6889.7,1,6881.6,8.1,0.12,8.1,0.12,-1.6,-0.02,24.3,0.97
83,Entry long,2025-12-31 14:49,Long,6881.6,1,6881.6,8.1,0.12,8.1,0.12,-1.6,-0.02,24.3,0.97
84,Exit long,2025-12-31 15:46,Exit Long,6874.7,1,6883,-8.3,-0.12,0.5,0.01,-8.3,-0.12,16,0.64
84,Entry long,2025-12-31 15:10,Long,6883,1,6883,-8.3,-0.12,0.5,0.01,-8.3,-0.12,16,0.64
85,Exit long,2025-12-31 15:56,Exit Long,6867.5,1,6875.7,-8.2,-0.12,0,0.00,-8.2,-0.12,7.8,0.31
85,Entry long,2025-12-31 15:47,Long,6875.7,1,6875.7,-8.2,-0.12,0,0.00,-8.2,-0.12,7.8,0.31
