time,open,high,low,close,VWAP,VWAP Upper,VWAP Lower,VWAP Upper (2),VWAP Lower (2),VWAP Upper (3),VWAP Lower (3),VWAP Upper (4),VWAP Lower (4),VWAP Upper (5),VWAP Lower (5),Plot,E50,E200,E20,Volume,%D,%D,%D,%D
1765427820,6830.9,6831.5,6830.6,6830.9,6849.631192407439,6876.152331808064,6823.110053006813,6891.2776691224835,6807.984715692394,6901.637489200853,6797.624895614024,,,,,,6831.5021859226845,6831.6937440069005,6846.328520698215,41,47.61904761904916,47.61904761904916,32.98185941043366,58.96000000000289
1765427880,6830.8,6831.6,6830.4,6831.4,6849.596304455582,6876.112652364159,6823.079956547005,6891.235257030769,6807.9573518803945,6901.593205432557,6797.599403478607,,,,,,6831.492453930048,6831.682224634081,6846.209568342054,34,66.66666666666667,66.66666666666667,32.50000000000206,58.02607669616752
1765427940,6831.6,6833.6,6831.6,6833.4,6849.540324971182,6876.042298756433,6823.03835118593,6891.156705680834,6807.923944261529,6901.509039190699,6797.571610751665,,,,,,6831.674124984329,6831.749588373921,6846.107500068412,60,80.66137566136562,80.66137566136562,40.833333333335396,58.37759184768218
1765428000,6833.3,6834,6832.8,6833.8,6849.504962480145,6875.995505795986,6823.014419164304,6891.1033937808015,6807.906531179488,6901.451262263552,6797.558662696738,,,,,,6831.8765892715355,6831.829996672983,6846.009432338784,40,91.20559334844468,91.20559334844468,49.72222222222378,59.025210895301505
1765428060,6833.9,6834.9,6833.6,6834.6,6849.465791630245,6875.9407512137595,6822.99083204673,6891.039751601233,6807.891831659257,6901.381532688543,6797.5500505719465,,,,,,6832.135961721866,6831.938624254434,6845.91852052732,47,95.43383636979667,95.43383636979667,59.624183006539646,60.65886785323037
1765428120,6834.7,6835,6834.1,6834.6,6849.425968506512,6875.883910897945,6822.968026115079,6890.973206168059,6807.878730844965,6901.308339914712,6797.543597098312,,,,,,6832.370632034069,6832.042991930731,6845.8283331127595,49,94.65543084563575,94.65543084563575,68.13725490196663,62.09252481115973
1765428180,6834.8,6834.8,6833.6,6833.7,6849.373881407472,6875.811031642719,6822.936731172225,6890.888468886259,6807.8592939286855,6901.215480696903,6797.532282118042,,,,,,6832.497238507015,6832.107972639329,6845.731693008275,63,88.67134229495862,88.67134229495862,68.22092290732108,62.719062027987796
1765428240,6833.6,6833.9,6833,6833.1,6849.333345068516,6875.756792995575,6822.909897141457,6890.826415641476,6807.840274495556,6901.148074987983,6797.518615149049,,,,,,6832.554644363489,6832.146875673081,6845.63104206797,47,79.66101694915437,79.66101694915437,64.65254683894469,62.896408306304906
1765428300,6833,6834.1,6832.8,6834,6849.299864879473,6875.711913434989,6822.887816323957,6890.775034876806,6807.82469488214,6901.092241343805,6797.507488415141,,,,,,6832.692297281253,6832.2195472153135,6845.538364441931,39,74.67452714320855,76.27118644067754,62.12238092642399,65.08087432572255
1765428360,6833.9,6834.3,6831.6,6831.6,6849.2619547047725,6875.66256022692,6822.861349182625,6890.719155563769,6807.804753845776,6901.031892095858,6797.492017313687,,,,,,6832.588268968752,6832.195251246086,6845.427301777055,43,57.38147875215591,64.40677966101886,51.89990732159606,64.71271106041618
1765428420,6831.4,6832.4,6831.4,6832.3,6849.214339105184,6875.604322134213,6822.824356076155,6890.654859330457,6807.773818879911,6900.963446451172,6797.465231759196,,,,,,6832.560814781252,6832.199359040357,6845.322701762895,51,43.11594202899488,59.88700564971813,46.79487179487445,64.81883350939599
1765428480,6832.4,6832.9,6832.1,6832.1,6849.180253837072,6875.560975922832,6822.799531751312,6890.606231487367,6807.754276186777,6900.911201052118,6797.449306622027,,,,,,6832.516927659228,6832.195462607402,6845.217341589486,38,23.510466988742735,49.15254237288335,43.58974358974595,64.78813096289136
1765428540,6831.8,6833.4,6831.8,6833.1,6849.150056245983,6875.522272779814,6822.777839712153,6890.562677521763,6807.737434970203,6900.864324605291,6797.435787886676,,,,,,6832.572458358349,6832.230934662014,6845.12078906686,34,30.555555555571,57.62711864407032,40.70512820513146,64.09239812430182
1765428600,6833.4,6834.9,6833.4,6834.6,6849.1139849302635,6875.471254887101,6822.756714973426,6890.503135409361,6807.724834451166,6900.79894398625,6797.429025874277,,,,,,6832.765557562316,6832.323839185073,6845.03695807828,45,51.851851851866826,69.98280520757102,50.320512820516974,64.69784030117262
1765428660,6834.9,6835,6834.1,6835,6849.08059554276,6875.422727124868,6822.738463960653,6890.445974042788,6807.715217042733,6900.735869192049,6797.425321893472,,,,,,6832.978361604,6832.4287866680115,6844.9569823167,43,78.7037037037126,86.36698599853042,58.974358974363355,64.99207449970609
1765428720,6835.1,6835.1,6834.1,6834.4,6849.041327697135,6875.365371664502,6822.717283729768,6890.378302989641,6807.7043524046285,6900.661132664394,6797.4215227298755,,,,,,6833.113755736953,6832.506089151619,6844.872862935691,51,89.98998998998843,90.79514296905357,66.34615384615658,64.67406380027994
1765428780,6834.1,6834.3,6833.4,6833.4,6849.011499681597,6875.323771078225,6822.69922828497,6890.329988359114,6807.69301100408,6900.608219373423,6797.414779989772,,,,,,6833.141017095339,6832.541144479006,6844.781445701144,37,78.37837837836953,78.37837837836953,68.88278388278283,64.20943134535601
1765428840,6833.1,6834.4,6833.1,6833.4,6848.986434437087,6875.288986748475,6822.6838821257,6890.289661113562,6807.683207760612,6900.564095610198,6797.408773263976,,,,,,6833.165682133877,6832.574825087672,6844.690756890776,31,63.06306306305067,63.06306306305067,68.31807081806716,64.32732316227623
1765428900,6833.1,6833.1,6832.4,6832.4,6848.95895435553,6875.253119693079,6822.664789017982,6890.24901086215,6807.668897848911,6900.52016919713,6797.397739513931,,,,,,6833.092760025889,6832.567969201881,6844.592822572921,32,45.0450450450362,45.045045045036204,62.50305250304686,62.14285714285861
1765428960,6832.6,6832.9,6832.4,6832.9,6848.9193716034415,6875.2016890890545,6822.6370541178285,6890.190823280068,6807.647919926815,6900.457353547886,6797.381389658997,,,,,,6833.074401928186,6832.580990017494,6844.4996526719415,46,38.1381381381267,40.54054054053258,60.595238095232055,63.10657596371995
1765429020,6832.6,6833.4,6832.6,6832.9,6848.900914361003,6875.177142784263,6822.6246859377425,6890.162804306904,6807.639024415102,6900.42695603474,6797.374872687265,,,,,,6833.057792220739,6832.593500212886,6844.407225160611,22,31.23123123121722,36.03603603602897,61.0714285714221,63.35600907029569
1765429080,6832.8,6832.9,6832.4,6832.6,6848.881240130541,6875.151517977739,6822.610962283344,6890.133785812468,6807.628694448615,6900.39561309653,6797.366867164553,,,,,,6833.014192961621,6832.593755106499,6844.313143685228,23,24.691358024687432,37.837837837836965,58.591269841264285,63.47619047619181
1765429140,6832.9,6832.9,6832.1,6832.6,6848.866594793585,6875.132603586467,6822.6005860007035,6890.112436726156,6807.620752861014,6900.372596410875,6797.360593176295,,,,,,6832.974746012896,6832.594000004284,6844.219811863035,17,19.135802469138,35.135135135141354,60.0793650793609,62.57596371882255
1765429200,6832.1,6833.1,6831.6,6832.9,6848.82414236257,6875.07820510365,6822.570079621489,6890.051225260672,6807.597059464467,6900.3067185189075,6797.341566206232,,,,,,6832.967627345,6832.606000004116,6844.129614158947,49,20.405643738978462,35.135135135141354,60.83333333332727,60.47845804988774
1765429260,6833.1,6833.4,6832.1,6832.9,6848.790486285597,6875.033906593328,6822.547065977866,6890.000857237581,6807.580115333612,6900.252193295289,6797.328779275905,,,,,,6832.961186645476,6832.617529415719,6844.040135161665,40,33.412698412686844,36.705276705271565,60.833333333327275,57.711351207150415
1765429320,6833,6833.6,6832.9,6833.4,6848.766931479644,6875.001870956243,6822.531992003045,6889.963984876491,6807.569878082797,6900.212008109537,6797.321854849751,,,,,,6833.002978393526,6832.648214536672,6843.955353208185,29,49.28571428569963,43.03732303730654,64.16666666665756,56.14472455649034
1765429380,6833.1,6833.4,6832.4,6832.9,6848.722275499037,6874.942355576946,6822.502195421128,6889.895994996379,6807.548556001695,6900.138213776813,6797.306337221261,,,,,,6832.993170927476,6832.65808847641,6843.867262744375,54,58.57142857140872,41.90476190474113,65.41666666665454,54.89687601948502
1765429440,6833.1,6833.4,6832.6,6833.1,6848.691198959689,6874.90059872806,6822.481799191319,6889.848147033458,6807.53425088592,6900.086193817979,6797.2962041014,,,,,,6833.003345124859,6832.67541834008,6843.781467822108,38,68.09523809522288,43.80952380950996,66.2499999999909,53.59650971911945
